,prices,simple_returns,log_returns
2016-10-03 02:00:00.000,611.9609026561799,0.0026248538665778476,0.0026214149541147146
2016-10-04 02:00:00.000,609.2425,-0.004442118188238586,-0.004452013710832016
2016-10-05 02:00:00.000,611.6363,0.0039291415158988485,0.003921442599538101
2016-10-06 02:00:00.000,610.9800000000001,-0.0010730232983227062,-0.0010735993999726112
2016-10-07 02:00:00.000,616.2188000000002,0.008574421421323253,0.008537869860344377
2016-10-08 02:00:00.000,616.5338,0.0005111820671486189,0.0005110514581038372
2016-10-09 02:00:00.000,614.6238000000001,-0.0030979647831148593,-0.003102773409885978
2016-10-10 02:00:00.000,614.3138,-0.0005043735696536045,-0.0005045008087883235
2016-10-11 02:00:00.000,640.7,0.042952315249958684,0.04205545613357282
2016-10-12 02:00:00.000,635.6163,-0.007934602778211342,-0.00796624925145787
2016-10-13 02:00:00.000,634.6223388041233,-0.0015637754976969287,-0.0015649994707796937
2016-10-14 02:00:00.000,638.1799999999996,0.005605950150731065,0.005590295291839723
2016-10-15 02:00:00.000,637.2088,-0.0015218276975141887,-0.0015229868534576596
2016-10-16 02:00:00.000,640.1862999999997,0.00467272266170804,0.004661839383031205
2016-10-17 02:00:00.000,637.4825000000001,-0.004223458077749598,-0.004232402068747519
2016-10-18 02:00:00.000,635.465,-0.0031647927590169322,-0.003169811306860521
2016-10-19 02:00:00.000,628.4375,-0.01105883093482729,-0.011120434401572349
2016-10-20 02:00:00.000,628.5425,0.00016708105420182306,0.00016706709771704094
2016-10-21 02:00:00.000,629.7187999999995,0.0018714724939037364,0.0018697234710814367
2016-10-22 02:00:00.000,652.0875,0.035521728111024276,0.03490538484052714
2016-10-23 02:00:00.000,649.6263000000002,-0.003774340100062834,-0.0037814808951806833
2016-10-24 02:00:00.000,648.7663,-0.0013238380281097584,-0.0013247150758036058
2016-10-25 02:00:00.000,652.6338,0.005961314575063437,0.005943616241390629
2016-10-26 02:00:00.000,673.4175000000001,0.03184588355675144,0.03134931826858878
2016-10-27 02:00:00.000,683.3724999999998,0.014782805614644179,0.014674604979661977
2016-10-28 02:00:00.000,687.5587999999999,0.006125941561886172,0.006107254261250825
2016-10-29 02:00:00.000,715.4103243232163,0.040507843581111036,0.03970890510388039
2016-10-30 02:00:00.000,697.2773624560577,-0.025346240123543695,-0.025672989129074876
2016-10-31 01:00:00.000,698.5762999999998,0.0018628706650776206,0.0018611376734126626
2016-11-01 01:00:00.000,729.2049999999999,0.04384445908056156,0.04291049280597906
2016-11-02 01:00:00.000,734.1638,0.006800282499434429,0.006777264870397207
2016-11-03 01:00:00.000,686.0612999999995,-0.06552011962453141,-0.06776518214657362
2016-11-04 01:00:00.000,702.11,0.023392516091492954,0.023123104572876953
2016-11-05 01:00:00.000,704.0224999999997,0.0027239321473837563,0.0027202289674948662
2016-11-06 01:00:00.000,712.1263000000001,0.011510711660494444,0.011444967446500733
